Outcome Measure ID,Drug Group,Animal,Sex,Type of Ischaemia,Anaesthetic ID,Method of Induction of Injury,Method of Quantification of Injury,Ventiliation,Route of Drug Delivery,Comorbidity,Cotreatment in both Groups,Cotreatment in Treatment Group Only,Peer Review Publication,Control of Temperature,Monitoring of Physiological Variables,Random Allocation to Group,Blinded Induction of Ischaemia,Blinded Assessment of Outcome,Anaesthetic without marked intrinsic neuroprotective activity,Use of Comorbid Animals,Sample Size Calculation,Compliance with Animal Welfare Regulations,Statement of Potential Conflicts of Interest,Time of Administration (mins),Time of Assessment (hrs),yi,si,yi.smd,si.smd
22438,Stem cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,360,168,7.905629139,2.943372669,1.201088944,0.525644448
22439,Stem cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,360,168,7.060849598,12.03382299,0.335181218,0.639741752
22440,Stem cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,360,168,-20.69672131,3.013711284,-2.124183434,0.403503625
22442,Stem Cells,Rat,Male,Temporary,1,17,1,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,672,57.89473684,11.23355129,2.944071443,1.056004232
22443,Stem Cells,Rat,Male,Temporary,1,17,1,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,336,19.08831909,4.775799035,2.283221135,0.911111222
22444,Stem Cells,Rat,Male,Temporary,6,17,1,Unknown,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1440,192,16.59125189,1.890869582,3.117365511,0.565497171
22445,Stem Cells,Rat,Male,Temporary,6,17,1,Unknown,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1440,168,30.71895425,5.143642744,2.1218065,0.468734604
22446,Stem Cells,Rat,Female,Temporary,6,17,1,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1440,432,9.929078014,13.54962636,0.478658704,0.849868754
22447,Stem Cells,Rat,Female,Temporary,6,17,1,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1440,408,-4.590818363,11.60434479,-0.131859806,0.348744443
22448,Stem Cells,Rat,Female,Temporary,6,17,1,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1440,408,28.20512821,20.54840219,0.466001183,0.353638073
